session_id,year,n_positive_overlap_equations,median_abs_log_alignment_residual,max_abs_log_alignment_residual
20260802_022825,2021,41,0.014761780133858537,0.0824019683197893
20260802_022825,2022,42,1.896066019765802e-6,0.0918037571210828
20260802_022825,2023,42,0.005810763251903411,0.03296238772934068
20260802_022825,2024,42,7.5858889509519e-8,0.1847342549171178
20260802_022825,2025,42,1.8687707661909706e-6,0.07053388834737107
20260803_022924,2021,41,0.017370123683540184,0.1926441840801394
20260803_022924,2022,42,9.221294915830558e-10,0.12861737966635278
20260803_022924,2023,42,0.00913032601458244,0.05800897682304593
20260803_022924,2024,42,5.760175643770412e-12,0.09156719351397058
20260803_022924,2025,42,1.079360771511048e-6,0.0738220709568102
20260804_042723,2021,42,0.018102158169235383,0.0964395950650464
20260804_042723,2022,42,1.954049306607173e-6,0.09531408790293794
20260804_042723,2023,42,0.008005782673990935,0.03871080671106672
20260804_042723,2024,42,1.087830003061719e-9,0.09844007063759241
20260804_042723,2025,42,1.0642128374117699e-11,0.057158413818663656
20260805_093707,2021,39,0.01488702433222866,0.15071585580382973
20260805_093707,2022,42,4.7298461544615254e-11,0.11332868521240602
20260805_093707,2023,42,0.006861510488142347,0.0643137379260211
20260805_093707,2024,42,3.555653153533655e-6,0.10535340435151885
20260805_093707,2025,42,3.4875428938507176e-9,0.05310983228903415
20260806_093815,2021,42,0.016792455647006155,0.1326242711721276
20260806_093815,2022,42,1.4313223506426622e-06,0.09894281049960485
20260806_093815,2023,42,0.005714347911811801,0.06746711739228228
20260806_093815,2024,42,2.9896651536159806e-12,0.11778303565040427
20260806_093815,2025,42,8.712128496726367e-11,0.08122543974834368
20260807_120706,2021,41,0.014006452575734296,0.11494061962399205
20260807_120706,2022,42,1.7271226797753722e-6,0.11122908935558362
20260807_120706,2023,42,0.008270628512610637,0.05222538349517333
20260807_120706,2024,42,1.7373376270594273e-6,0.17435686182003174
20260807_120706,2025,42,6.338175284763173e-7,0.06103462295131168
20260808_212205,2021,41,0.018973709193336408,0.17898067093693382
20260808_212205,2022,42,2.136502129803755e-10,0.10536051523052592
20260808_212205,2023,42,0.010913749143370441,0.042575718383082606
20260808_212205,2024,42,2.682277728491099e-6,0.18232692134941186
20260808_212205,2025,42,9.674786777529623e-9,0.07637295943500105
20260809_221745,2021,41,0.015631449508508144,0.10364559735309375
20260809_221745,2022,42,1.0717605344719638e-10,0.12062798800296726
20260809_221745,2023,42,0.008668459826638442,0.04162019893828106
20260809_221745,2024,42,2.2753694147293926e-10,0.10536051520275214
20260809_221745,2025,42,3.1436266678714576e-9,0.08269170955786015
20260811_050055,2021,39,0.011047136598574592,0.10162272070061584
20260811_050055,2022,42,1.151511328513923e-6,0.12306239577988443
20260811_050055,2023,42,0.008350723225141243,0.06448660072712536
20260811_050055,2024,42,9.851179401173483e-10,0.09844007084301676
20260811_050055,2025,42,1.2242132881369387e-10,0.03077165842191193
20260812_091047,2021,41,0.017968901434459505,0.0657933669113252
20260812_091047,2022,42,2.298166638358233e-6,0.14764059513934158
20260812_091047,2023,42,0.008738429287081934,0.05166347400411589
20260812_091047,2024,42,3.539635282022667e-11,0.11778303572717652
20260812_091047,2025,42,1.9874452161980354e-6,0.06720477480301712
