session_id,year,window_id,log_scale,multiplier
20260802_022825,2021,1,0,1
20260802_022825,2021,2,0.862059640521062,2.3680329710758845
20260802_022825,2021,3,-0.04177303898899152,0.9590874313254919
20260802_022825,2022,1,0,1
20260802_022825,2022,2,-3.869172730464371e-17,1
20260802_022825,2022,3,-2.159488041485412,0.11538417783174812
20260802_022825,2023,1,0,1
20260802_022825,2023,2,0.16079575923922518,1.1744450747610762
20260802_022825,2023,3,-0.0412777360866949,0.9595625877772544
20260802_022825,2024,1,0,1
20260802_022825,2024,2,1.2349857430313839e-17,1
20260802_022825,2024,3,-0.5901993630252822,0.5542167833853335
20260802_022825,2025,1,0,1
20260802_022825,2025,2,-3.788806830375022e-18,1
20260802_022825,2025,3,-0.35821596079915186,0.6989221189274661
20260803_022924,2021,1,0,1
20260803_022924,2021,2,0.8299277367036633,2.293153023480153
20260803_022924,2021,3,-0.07604036788430708,0.9267787937051258
20260803_022924,2022,1,0,1
20260803_022924,2022,2,-1.5401366675914987e-17,1
20260803_022924,2022,3,-2.140066161652012,0.11764705904050106
20260803_022924,2023,1,0,1
20260803_022924,2023,2,0.1450203538126756,1.1560631003203428
20260803_022924,2023,3,0.004730356130694861,1.0047415619274256
20260803_022924,2024,1,0,1
20260803_022924,2024,2,1.1050215423066054e-17,1
20260803_022924,2024,3,-0.601579987045975,0.5479452054731396
20260803_022924,2025,1,0,1
20260803_022924,2025,2,2.1608817559195203e-19,1
20260803_022924,2025,3,-0.361504143408591,0.6966277096562788
20260804_042723,2021,1,0,1
20260804_042723,2021,2,0.8061836231074062,2.239345471863838
20260804_042723,2021,3,-0.07820603483927338,0.9247738712777687
20260804_042723,2022,1,0,1
20260804_042723,2022,2,4.424900863242374e-17,1
20260804_042723,2022,3,-2.174755629582774,0.11363591953511629
20260804_042723,2023,1,0,1
20260804_042723,2023,2,0.17430821146950934,1.1904224111251631
20260804_042723,2023,3,-0.03210343985240909,0.9684064050825263
20260804_042723,2024,1,0,1
20260804_042723,2024,2,2.0619596343550064e-17,1
20260804_042723,2024,3,-0.594707109922353,0.5517241367306702
20260804_042723,2025,1,0,1
20260804_042723,2025,2,-4.6096928268853855e-18,1
20260804_042723,2025,3,-0.3756121449371986,0.6868686868833066
20260805_093707,2021,1,0,1
20260805_093707,2021,2,0.8608850558746504,2.365253148793747
20260805_093707,2021,3,-0.05971059100119642,0.9420371281587808
20260805_093707,2022,1,0,1
20260805_093707,2022,2,-1.4823143912287506e-16,0.9999999999999999
20260805_093707,2022,3,-2.1202635362946882,0.11999999998864834
20260805_093707,2023,1,0,1
20260805_093707,2023,2,0.1760287027504904,1.1924722853939407
20260805_093707,2023,3,0.01640478502014452,1.016540082334526
20260805_093707,2024,1,0,1
20260805_093707,2024,2,-2.7931522804127124e-17,1
20260805_093707,2024,3,-0.5877937762084263,0.5555516048438767
20260805_093707,2025,1,0,1
20260805_093707,2025,2,-9.702075367885243e-19,1
20260805_093707,2025,3,-0.3715635634075691,0.689655167603389
20260806_093815,2021,1,0,1
20260806_093815,2021,2,0.8482049818395984,2.335450910360154
20260806_093815,2021,3,-0.05924322807901688,0.9424775042835192
20260806_093815,2022,1,0,1
20260806_093815,2022,2,-6.023468558077901e-19,1
20260806_093815,2022,3,-2.1202606735553897,0.12000034351785585
20260806_093815,2023,1,0,1
20260806_093815,2023,2,0.14247810994077992,1.1531278386444164
20260806_093815,2023,3,-0.05241903713442865,0.9489311461305908
20260806_093815,2024,1,0,1
20260806_093815,2024,2,-2.163508255725313e-18,1
20260806_093815,2024,3,-0.5877866648961397,0.5555555555588774
20260806_093815,2025,1,0,1
20260806_093815,2025,2,5.113512934763939e-18,1
20260806_093815,2025,3,-0.36890751220012447,0.6914893618226143
20260807_120706,2021,1,0,1
20260807_120706,2021,2,0.8894751899296341,2.433852006016109
20260807_120706,2021,3,-0.01392279005862833,0.9861736837357655
20260807_120706,2022,1,0,1
20260807_120706,2022,2,2.642286509743565e-17,1
20260807_120706,2022,3,-2.1400627092509112,0.11764746520603829
20260807_120706,2023,1,0,1
20260807_120706,2023,2,0.17091816781903638,1.186393659868589
20260807_120706,2023,3,-0.04201826353093627,0.9588522683845009
20260807_120706,2024,1,0,1
20260807_120706,2024,2,-4.0668929735826733e-17,1
20260807_120706,2024,3,-0.5798219699281962,0.5599980541852383
20260807_120706,2025,1,0,1
20260807_120706,2025,2,2.967899322856146e-17,1
20260807_120706,2025,3,-0.37948835406984655,0.6842113936455888
20260808_212205,2021,1,0,1
20260808_212205,2021,2,0.8552217333939551,2.35189581660452
20260808_212205,2021,3,-0.06440988433722086,0.9376206047572672
20260808_212205,2022,1,0,1
20260808_212205,2022,2,-8.68906998396818e-18,1
20260808_212205,2022,3,-2.133508762522811,0.11842105268218034
20260808_212205,2023,1,0,1
20260808_212205,2023,2,0.15693946959142355,1.1699247957317194
20260808_212205,2023,3,-0.045607270058479005,0.95541710942563
20260808_212205,2024,1,0,1
20260808_212205,2024,2,1.6295361380937704e-17,1
20260808_212205,2024,3,-0.5877920294575762,0.5555525752549622
20260808_212205,2025,1,0,1
20260808_212205,2025,2,5.202112113402731e-19,1
20260808_212205,2025,3,-0.3756121643080564,0.6868686735780711
20260809_221745,2021,1,0,1
20260809_221745,2021,2,0.8126451345210614,2.2538618766406553
20260809_221745,2021,3,-0.05028417537465024,0.9509591469275623
20260809_221745,2022,1,0,1
20260809_221745,2022,2,-1.5262384230268577e-17,1
20260809_221745,2022,3,-2.112964233504127,0.12087912090503163
20260809_221745,2023,1,0,1
20260809_221745,2023,2,0.15373434424113688,1.166181042914431
20260809_221745,2023,3,0.021001156034640384,1.0212232322062782
20260809_221745,2024,1,0,1
