year,lag,acf
2021,1,0.656923612223727
2021,2,0.43463773254950017
2021,3,0.2944582918546972
2021,4,0.1610415255379708
2021,5,0.10687171755212045
2021,6,0.0394556472646321
2021,7,-0.015878107757306446
2021,8,-0.020573440766021897
2021,9,-0.011494740323173975
2021,10,0.0019711762591052397
2021,11,-0.02703103226164253
2021,12,-0.1394087395341706
2021,13,-0.15421117626920233
2021,14,-0.14647332433351032
2021,15,-0.16360457875919843
2021,16,-0.19828360814477877
2021,17,-0.21680932608669876
2021,18,-0.2535154009363703
2021,19,-0.20960429787380605
2021,20,-0.16315879063999017
2021,21,-0.19344482513835232
2022,1,0.44362364314153524
2022,2,0.22951487440478943
2022,3,0.08347736028849746
2022,4,0.028387586721959943
2022,5,0.07991015626107555
2022,6,0.04075221848060587
2022,7,0.06961525002680642
2022,8,0.039012621115734045
2022,9,0.012683922843023391
2022,10,-0.13771362498971496
2022,11,-0.1638072804083996
2022,12,-0.22234859073524635
2022,13,-0.1949115900275896
2022,14,-0.23535921732339324
2022,15,-0.22887650875133306
2022,16,-0.17274156039238142
2022,17,-0.14054930875565833
2022,18,-0.17428421732729527
2022,19,-0.1905655543216841
2022,20,-0.0965371596081888
2022,21,-0.21612212728889688
2023,1,0.24550180436046593
2023,2,0.24874694670589248
2023,3,0.03770585263062906
2023,4,0.11482218492080763
2023,5,-0.25372023676382827
2023,6,0.029075485562060462
2023,7,-0.29628453844228697
2023,8,-0.302299861112302
2023,9,-0.5053716468075439
2023,10,-0.19011814449057884
2023,11,-0.17091782027066207
2023,12,-0.009158922983318841
2023,13,-0.06373634225299699
2023,14,0.13213315665650907
2023,15,0.017661165464278115
2023,16,0.2527192272472646
2023,17,0.2170324387717658
2023,18,0.22818811776627565
2023,19,0.11894429930892383
2023,20,0.07655604530326278
2023,21,-0.0854911409563891
2024,1,0.01764989111460548
2024,2,-0.03570796924073379
2024,3,0.1694671887624429
2024,4,0.04066249665503799
2024,5,-0.028618870355352335
2024,6,0.12285282853914485
2024,7,0.06919558402636532
2024,8,0.10818908300853272
2024,9,-0.042055413885594396
2024,10,-0.16030249952417838
2024,11,-0.048921084262052585
2024,12,-0.13504917566808744
2024,13,-0.01802301389991582
2024,14,-0.12134800387476602
2024,15,-0.15851663857712334
2024,16,-0.02069252085902248
2024,17,-0.0547962820174649
2024,18,-0.05265008844552293
2024,19,-0.13780394628477338
2024,20,-0.0018471387045702699
2024,21,-0.019781746856556457
2025,1,0.23978918309343164
2025,2,0.061385488398699097
2025,3,0.14662049551639184
2025,4,-0.056074453237684375
2025,5,-0.2209364722142133
2025,6,-0.11993973564331364
2025,7,-0.1170200218117676
2025,8,-0.288487461204042
2025,9,-0.2074142157690932
2025,10,-0.17274143335927666
2025,11,-0.21938381874495064
2025,12,0.03127087066856059
2025,13,0.13368906938081537
2025,14,0.0194489884297888
2025,15,0.230377917346925
2025,16,0.19482154354418113
2025,17,0.06225908656891373
2025,18,0.03256942327448434
2025,19,0.19434587119839344
2025,20,0.0674945886985129
2025,21,-0.18298135753370234
