year,lag,p_value,p_holm_descriptive
2021,7,0,0
2021,14,0,0
2021,21,0,0
2022,7,4.5796897196748176e-7,2.289844859837409e-6
2022,14,3.0618152457861925e-10,2.449452196628954e-9
2022,21,9.547918011776346e-15,9.547918011776346e-14
2023,7,8.156315456364638e-8,4.893789273818783e-7
2023,14,0,0
2023,21,0,0
2024,7,0.29894408584955867,0.29894408584955867
2024,14,0.10427289009213636,0.29248648843377423
2024,21,0.09749549614459141,0.29248648843377423
2025,7,5.404319284508796e-4,0.0021617277138035185
2025,14,3.814509952348999e-8,2.670156966644299e-7
2025,21,5.213862674935399e-11,4.692476407441859e-10
