n_acquisition_dates,first_date,last_date,estimate,std_error,lower_95,upper_95,p_value,fit_status,error
1,2026-08-02,2026-08-02,0.71945541610053,0.16597535267772673,0.258633960574978,1.180276871626082,0.012303994909210688,success,NA
2,2026-08-02,2026-08-03,0.710296098798569,0.16495457861534413,0.2523087664220321,1.168283431175106,0.012585656373849265,success,NA
3,2026-08-02,2026-08-04,0.7073909081688516,0.16468009467432998,0.2501656653867988,1.1646161509509045,0.012690279183152436,success,NA
4,2026-08-02,2026-08-05,0.7112797373578932,0.1645030729657736,0.2545459856320755,1.1680134890837108,0.012410093813290862,success,NA
5,2026-08-02,2026-08-06,0.7149793180097532,0.16225027062052833,0.2645003483283699,1.1654582876911366,0.011630909530956123,success,NA
6,2026-08-02,2026-08-07,0.7148500880984873,0.1635437913184546,0.2607797292068745,1.1689204469901,0.011958711641021868,success,NA
7,2026-08-02,2026-08-08,0.7135083932271412,0.16348890419746254,0.2595904254139452,1.1674263610403373,0.01202193957629203,success,NA
8,2026-08-02,2026-08-09,0.7129951411220287,0.16381607689885425,0.2581687962634993,1.167821485980558,0.012134095243345609,success,NA
9,2026-08-02,2026-08-11,0.7131155445583919,0.16350401620083282,0.2591556190974087,1.167075470019375,0.012048385513994384,success,NA
10,2026-08-02,2026-08-12,0.7143917468643984,0.1637041097585646,0.25987627262446933,1.1689072211043277,0.012025151723172192,success,NA
